Год,Месяц,Федеральный,Региональный,Муниципальный
2014,1,129.30,174.43,73.13
2014,2,138.08,178.29,59.81
2014,3,107.99,139.05,28.82
2014,4,57.35,95.63,38.13
2014,5,302.81,117.15,48.50
2014,6,129.78,158.23,70.06
2014,7,104.60,162.30,80.76
2014,8,128.66,167.22,80.57
2014,9,119.78,162.69,80.66
2014,10,136.90,184.80,66.20
2014,11,193.58,239.27,73.65
2014,12,462.61,508.87,205.59
2015,1,101.54,161.58,79.32
2015,2,345.45,143.35,63.58
2015,3,102.15,104.38,68.10
2015,4,121.94,109.92,55.16
2015,5,116.75,129.35,63.36
2015,6,193.50,154.02,69.67
2015,7,131.95,131.54,57.55
2015,8,159.84,125.13,61.47
2015,9,214.36,188.35,61.64
2015,10,168.57,182.31,61.27
2015,11,168.75,213.63,70.45
2015,12,381.18,450.31,161.90
2016,1,110.00,157.21,78.98
2016,2,134.24,185.53,62.46
2016,3,117.02,96.08,55.82
2016,4,131.63,150.79,53.67
2016,5,137.95,132.30,63.91
2016,6,150.79,150.71,72.31
2016,7,126.74,159.25,73.43
2016,8,149.51,185.38,80.29
2016,9,184.63,138.86,61.88
2016,10,175.64,120.97,61.59
2016,11,282.22,158.11,66.43
2016,12,362.89,411.88,159.40
2017,1,105.13,178.54,89.32
2017,2,120.97,120.76,60.46
2017,3,99.55,101.41,61.85
2017,4,206.66,141.79,69.80
2017,5,197.13,202.87,98.85
2017,6,164.13,300.54,91.17
2017,7,196.65,181.94,94.66
2017,8,183.96,180.00,96.73
2017,9,114.05,165.80,105.81
2017,10,124.55,203.84,76.11
2017,11,217.20,351.89,66.00
2017,12,323.51,478.71,213.63
2018,1,117.51,176.56,146.14
2018,2,94.44,148.06,103.12
2018,3,134.84,154.55,83.61
2018,4,190.59,214.90,86.16
2018,5,314.40,293.26,102.56
2018,6,247.56,286.10,98.79
2018,7,231.47,243.18,112.10
2018,8,107.93,189.91,100.71
2018,9,131.97,180.93,100.37
2018,10,199.48,221.59,89.10
2018,11,163.44,208.18,73.32
2018,12,368.59,496.13,230.08
